# Constructed from biom file
#OTU ID	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	983N2	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	916C2	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	744P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1501.0	685.0	1961.0	596.0	8058.0	1916.0	2402.0	1137.0	2783.0	3170.0	2088.0	2441.0	2482.0	1009.0	4111.0	2854.0	1651.0	862.0	445.0	1412.0	856.0	1866.0	3254.0	1014.0	5018.0	5488.0	1921.0	1413.0	2560.0	7985.0	577.0	1129.0	2578.0	2213.0	1201.0	5142.0	1406.0	1952.0	2850.0	665.0	2539.0	3704.0	3016.0	1428.0	702.0	2591.0	3139.0	2141.0	1131.0	3314.0	2691.0	1715.0	1261.0	1337.0	1363.0	4131.0	29.0	2953.0	7386.0	2693.0	1216.0	2932.0	2837.0	6474.0	2631.0	1418.0	2394.0	1002.0	1983.0	3796.0	6094.0	2820.0	14.0	125.0	5395.0	1489.0	1736.0	2885.0	2377.0	6638.0	1475.0	2136.0	3058.0	2042.0	950.0	2662.0	810.0	1930.0	1349.0	6604.0	2175.0	1848.0	1154.0	1668.0	1731.0	15819.0	658.0	5264.0	6597.0	3656.0	1509.0	1783.0	3101.0	2338.0	1900.0	8786.0	2155.0	25.0	1069.0	1976.0	1541.0	5239.0	1062.0	2493.0	439.0	3019.0	882.0	1316.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	370.0	53.0	215.0	60.0	2.0	0.0	207.0	46.0	440.0	73.0	62.0	86.0	57.0	56.0	893.0	284.0	33.0	41.0	12.0	66.0	1020.0	105.0	9.0	45.0	4.0	266.0	0.0	27.0	75.0	134.0	686.0	89.0	49.0	0.0	83.0	166.0	71.0	135.0	105.0	136.0	323.0	326.0	326.0	7.0	130.0	46.0	175.0	50.0	83.0	228.0	102.0	180.0	16.0	0.0	42.0	55.0	2.0	623.0	107.0	226.0	209.0	15.0	159.0	40.0	63.0	260.0	97.0	136.0	13.0	170.0	87.0	94.0	0.0	4.0	117.0	184.0	238.0	29.0	341.0	2.0	49.0	11.0	112.0	21.0	20.0	60.0	25.0	435.0	40.0	148.0	42.0	164.0	112.0	83.0	113.0	20.0	20.0	162.0	13.0	2.0	37.0	91.0	118.0	31.0	271.0	2074.0	707.0	0.0	58.0	369.0	294.0	4.0	0.0	27.0	86.0	58.0	45.0	40.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	340.0	97.0	1445.0	287.0	6.0	2.0	2305.0	142.0	59.0	0.0	7.0	193.0	2.0	5.0	4.0	184.0	5.0	566.0	52.0	2.0	40.0	124.0	6.0	2.0	8.0	11.0	2.0	0.0	51.0	10.0	1594.0	3137.0	14.0	5.0	7.0	27.0	8.0	60.0	5.0	79.0	2292.0	12.0	122.0	38.0	3679.0	814.0	16.0	11.0	83.0	2.0	10.0	6.0	1498.0	2.0	20.0	3.0	0.0	4.0	41.0	1361.0	2760.0	2.0	2.0	57.0	4.0	1192.0	338.0	2130.0	2.0	7.0	8.0	2886.0	9.0	84.0	7.0	5.0	2.0	0.0	8883.0	10.0	0.0	5.0	201.0	2.0	1900.0	14.0	366.0	2506.0	30.0	85.0	0.0	3140.0	88.0	6.0	0.0	44.0	20.0	4.0	55.0	4.0	65.0	37.0	41.0	14.0	403.0	119.0	71.0	0.0	32.0	2587.0	1596.0	9.0	0.0	485.0	3278.0	6.0	3.0	19.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1353.0	188.0	596.0	591.0	1073.0	459.0	1053.0	564.0	185.0	2336.0	1118.0	1220.0	564.0	1044.0	2007.0	1630.0	461.0	782.0	452.0	1135.0	433.0	414.0	1428.0	1006.0	950.0	661.0	1191.0	645.0	528.0	956.0	656.0	1663.0	2212.0	556.0	278.0	1004.0	2966.0	409.0	1284.0	723.0	2389.0	877.0	1902.0	817.0	1373.0	990.0	488.0	960.0	703.0	511.0	3120.0	606.0	480.0	633.0	630.0	114.0	4.0	1152.0	5682.0	250.0	622.0	1739.0	990.0	518.0	571.0	1228.0	1014.0	895.0	597.0	1207.0	1331.0	1318.0	6.0	2358.0	1623.0	1229.0	2442.0	1316.0	511.0	1014.0	499.0	907.0	1278.0	1730.0	1069.0	427.0	637.0	1610.0	619.0	434.0	668.0	2994.0	980.0	549.0	482.0	1835.0	371.0	1103.0	1442.0	935.0	745.0	602.0	2236.0	1285.0	199.0	2133.0	1738.0	0.0	1431.0	352.0	501.0	2045.0	131.0	190.0	1554.0	1480.0	54.0	1200.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	399.0	137.0	1999.0	439.0	94.0	1190.0	637.0	847.0	407.0	683.0	195.0	799.0	1242.0	1126.0	502.0	3003.0	424.0	1143.0	978.0	627.0	856.0	310.0	885.0	570.0	106.0	926.0	27.0	435.0	203.0	344.0	1302.0	745.0	228.0	961.0	599.0	766.0	1049.0	1730.0	767.0	481.0	2231.0	287.0	524.0	819.0	503.0	1255.0	929.0	239.0	151.0	1864.0	638.0	1226.0	495.0	1088.0	620.0	1307.0	4.0	509.0	3518.0	929.0	2048.0	659.0	673.0	592.0	862.0	1140.0	1582.0	326.0	785.0	463.0	563.0	418.0	0.0	68.0	906.0	800.0	654.0	595.0	1395.0	904.0	261.0	813.0	683.0	557.0	506.0	295.0	515.0	993.0	924.0	239.0	76.0	435.0	1283.0	742.0	102.0	3918.0	59.0	694.0	2505.0	187.0	262.0	363.0	1586.0	1080.0	2468.0	929.0	712.0	0.0	236.0	1363.0	722.0	274.0	167.0	2849.0	506.0	910.0	1538.0	443.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	194.0	21.0	18.0	33.0	28.0	6.0	36.0	7.0	4.0	21.0	80.0	42.0	7.0	109.0	66.0	55.0	28.0	7.0	16.0	22.0	25.0	20.0	18.0	12.0	44.0	91.0	26.0	14.0	76.0	20.0	24.0	71.0	34.0	2.0	16.0	8.0	48.0	0.0	29.0	28.0	74.0	0.0	103.0	146.0	59.0	20.0	6.0	8.0	4.0	7.0	44.0	15.0	6.0	0.0	38.0	0.0	0.0	9.0	969.0	38.0	16.0	32.0	49.0	17.0	2.0	14.0	33.0	21.0	7.0	63.0	184.0	30.0	0.0	2.0	442.0	32.0	59.0	57.0	12.0	36.0	9.0	115.0	63.0	29.0	72.0	6.0	15.0	24.0	2.0	0.0	62.0	24.0	16.0	7.0	7.0	28.0	40.0	4.0	29.0	2.0	3.0	6.0	37.0	32.0	6.0	26.0	148.0	0.0	22.0	4.0	22.0	35.0	0.0	12.0	42.0	0.0	2.0	71.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured	127.0	14.0	0.0	0.0	0.0	0.0	13.0	18.0	25.0	100.0	0.0	2.0	5.0	728.0	2.0	6302.0	0.0	2.0	0.0	43.0	4.0	0.0	9.0	3.0	2.0	0.0	2.0	5.0	2.0	0.0	0.0	2.0	9.0	0.0	1641.0	33.0	20.0	0.0	277.0	0.0	4.0	0.0	194.0	6.0	8.0	51.0	0.0	3.0	0.0	9.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	26.0	0.0	0.0	4.0	2.0	7.0	0.0	2.0	213.0	2.0	2.0	101.0	0.0	5.0	2.0	2.0	2.0	0.0	34.0	6.0	0.0	10.0	5.0	6.0	5.0	0.0	0.0	6.0	41.0	25.0	0.0	16.0	3.0	31.0	0.0	34.0	0.0	0.0	3.0	2.0	0.0	61.0	2.0	0.0	0.0	2.0	124.0	0.0	0.0	2.0	0.0	0.0	0.0	78.0	8.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae	73.0	0.0	28.0	14.0	0.0	29.0	12.0	10.0	17.0	49.0	53.0	142.0	19.0	144.0	0.0	70.0	38.0	15.0	28.0	21.0	0.0	8.0	137.0	19.0	0.0	30.0	2.0	75.0	18.0	8.0	4.0	58.0	56.0	26.0	14.0	39.0	184.0	6.0	19.0	9.0	121.0	22.0	342.0	75.0	155.0	36.0	14.0	30.0	12.0	22.0	20.0	4.0	4.0	86.0	23.0	0.0	0.0	7.0	93.0	12.0	12.0	56.0	50.0	68.0	0.0	2.0	40.0	21.0	11.0	71.0	19.0	25.0	0.0	0.0	359.0	0.0	322.0	25.0	73.0	73.0	0.0	49.0	170.0	45.0	25.0	14.0	18.0	8.0	10.0	2.0	23.0	18.0	26.0	7.0	4.0	4.0	18.0	60.0	15.0	0.0	0.0	0.0	44.0	175.0	10.0	2.0	323.0	0.0	9.0	10.0	10.0	13.0	0.0	10.0	24.0	193.0	0.0	7.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	110.0	58.0	184.0	310.0	8.0	2.0	727.0	261.0	3322.0	209.0	86.0	100.0	576.0	752.0	177.0	546.0	149.0	188.0	119.0	313.0	20.0	71.0	322.0	93.0	160.0	387.0	114.0	65.0	404.0	191.0	154.0	147.0	263.0	791.0	389.0	24.0	1186.0	283.0	402.0	155.0	368.0	190.0	215.0	123.0	87.0	144.0	254.0	293.0	104.0	831.0	711.0	101.0	473.0	631.0	69.0	581.0	0.0	373.0	1011.0	64.0	418.0	0.0	145.0	172.0	280.0	142.0	689.0	246.0	222.0	153.0	49.0	189.0	0.0	7.0	561.0	2.0	53.0	84.0	328.0	81.0	199.0	155.0	183.0	474.0	142.0	280.0	142.0	588.0	127.0	883.0	752.0	234.0	520.0	105.0	79.0	51.0	397.0	664.0	632.0	2.0	256.0	62.0	546.0	361.0	215.0	555.0	303.0	0.0	145.0	833.0	392.0	227.0	0.0	923.0	118.0	10.0	570.0	47.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	146.0	42.0	532.0	264.0	677.0	457.0	252.0	129.0	260.0	116.0	105.0	148.0	103.0	95.0	63.0	3140.0	279.0	256.0	429.0	134.0	4.0	181.0	289.0	125.0	64.0	80.0	36.0	31.0	66.0	28.0	838.0	273.0	117.0	112.0	669.0	98.0	271.0	161.0	211.0	206.0	843.0	51.0	50.0	179.0	119.0	318.0	2851.0	103.0	35.0	165.0	155.0	167.0	108.0	305.0	279.0	12.0	0.0	104.0	144.0	366.0	725.0	355.0	149.0	155.0	157.0	292.0	687.0	177.0	87.0	142.0	21.0	275.0	0.0	194.0	88.0	0.0	85.0	72.0	980.0	593.0	21.0	82.0	228.0	37.0	195.0	422.0	155.0	1404.0	436.0	300.0	91.0	97.0	736.0	171.0	82.0	618.0	39.0	89.0	887.0	228.0	87.0	31.0	389.0	414.0	342.0	208.0	47.0	2.0	61.0	260.0	315.0	118.0	31.0	139.0	160.0	47.0	15.0	52.0
