# Constructed from biom file
#OTU ID	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	983N2	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	916C2	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	744P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1501.0	685.0	1961.0	596.0	8058.0	1916.0	2402.0	1137.0	2783.0	3170.0	2088.0	2441.0	2482.0	1009.0	4111.0	2854.0	1651.0	862.0	445.0	1412.0	856.0	1866.0	3254.0	1014.0	5018.0	5488.0	1921.0	1413.0	2560.0	7985.0	577.0	1129.0	2578.0	2213.0	1201.0	5142.0	1406.0	1952.0	2850.0	665.0	2539.0	3704.0	3016.0	1428.0	702.0	2591.0	3139.0	2141.0	1131.0	3314.0	2691.0	1715.0	1261.0	1337.0	1363.0	4131.0	29.0	2953.0	7386.0	2693.0	1216.0	2932.0	2837.0	6474.0	2631.0	1418.0	2394.0	1002.0	1983.0	3796.0	6094.0	2820.0	14.0	125.0	5395.0	1489.0	1736.0	2885.0	2377.0	6638.0	1475.0	2136.0	3058.0	2042.0	950.0	2662.0	810.0	1930.0	1349.0	6604.0	2175.0	1848.0	1154.0	1668.0	1731.0	15819.0	658.0	5264.0	6597.0	3656.0	1509.0	1783.0	3101.0	2338.0	1900.0	8786.0	2155.0	25.0	1069.0	1976.0	1541.0	5239.0	1062.0	2493.0	439.0	3019.0	882.0	1316.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	370.0	44.0	102.0	57.0	2.0	0.0	10.0	46.0	428.0	2.0	62.0	86.0	55.0	54.0	886.0	15.0	0.0	9.0	4.0	62.0	1018.0	97.0	9.0	0.0	4.0	255.0	0.0	3.0	0.0	0.0	678.0	89.0	49.0	0.0	2.0	165.0	56.0	126.0	90.0	131.0	303.0	2.0	326.0	7.0	126.0	5.0	2.0	6.0	9.0	0.0	92.0	180.0	0.0	0.0	2.0	55.0	2.0	623.0	0.0	219.0	194.0	15.0	157.0	3.0	63.0	260.0	92.0	0.0	0.0	167.0	2.0	82.0	0.0	0.0	0.0	182.0	238.0	13.0	333.0	2.0	49.0	11.0	112.0	0.0	20.0	2.0	8.0	431.0	34.0	139.0	42.0	4.0	110.0	76.0	113.0	14.0	20.0	160.0	8.0	0.0	37.0	0.0	113.0	20.0	258.0	2066.0	707.0	0.0	51.0	365.0	286.0	2.0	0.0	0.0	56.0	58.0	45.0	40.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	327.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	454.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	3.0	234.0	82.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	814.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	461.0	229.0	0.0	0.0	15.0	2.0	0.0	112.0	0.0	0.0	0.0	0.0	188.0	0.0	0.0	2.0	0.0	0.0	0.0	583.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	333.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	146.0	0.0	65.0	0.0	0.0	0.0	0.0	2.0	0.0	479.0	0.0	0.0	0.0	19.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	447.0	24.0	11.0	22.0	2.0	4.0	6.0	88.0	17.0	8.0	189.0	7.0	4.0	133.0	0.0	245.0	16.0	39.0	2.0	9.0	22.0	19.0	103.0	13.0	6.0	2.0	0.0	2.0	2.0	3.0	22.0	748.0	44.0	0.0	45.0	223.0	61.0	0.0	31.0	11.0	8.0	165.0	760.0	13.0	366.0	23.0	20.0	276.0	448.0	27.0	7.0	5.0	0.0	0.0	48.0	0.0	0.0	60.0	1854.0	7.0	19.0	144.0	325.0	5.0	0.0	13.0	85.0	2.0	122.0	461.0	4.0	57.0	0.0	4.0	26.0	0.0	1381.0	26.0	16.0	9.0	120.0	27.0	234.0	2.0	25.0	15.0	8.0	64.0	82.0	18.0	20.0	124.0	69.0	76.0	0.0	5.0	29.0	58.0	6.0	4.0	13.0	0.0	18.0	87.0	3.0	0.0	345.0	0.0	56.0	24.0	17.0	1239.0	0.0	15.0	332.0	5.0	6.0	263.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	189.0	46.0	58.0	38.0	2.0	23.0	373.0	99.0	24.0	1373.0	172.0	5.0	111.0	195.0	435.0	479.0	10.0	416.0	3.0	29.0	142.0	77.0	317.0	0.0	4.0	76.0	2.0	131.0	208.0	292.0	72.0	5.0	957.0	257.0	31.0	81.0	398.0	41.0	365.0	302.0	35.0	0.0	12.0	34.0	38.0	181.0	89.0	24.0	21.0	91.0	2412.0	123.0	180.0	149.0	95.0	43.0	4.0	780.0	1322.0	61.0	251.0	24.0	0.0	46.0	173.0	0.0	79.0	471.0	238.0	0.0	326.0	265.0	2.0	14.0	276.0	0.0	0.0	570.0	66.0	251.0	0.0	1.0	233.0	1100.0	0.0	198.0	347.0	303.0	2.0	74.0	102.0	2125.0	351.0	4.0	303.0	35.0	75.0	0.0	407.0	0.0	12.0	41.0	860.0	453.0	55.0	885.0	38.0	0.0	984.0	107.0	88.0	250.0	0.0	0.0	101.0	8.0	23.0	11.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	320.0	94.0	1859.0	223.0	9.0	761.0	220.0	243.0	66.0	350.0	135.0	750.0	656.0	829.0	400.0	321.0	295.0	920.0	263.0	365.0	824.0	157.0	388.0	366.0	86.0	877.0	22.0	328.0	171.0	299.0	1261.0	394.0	127.0	686.0	166.0	513.0	282.0	1693.0	472.0	324.0	901.0	9.0	228.0	463.0	357.0	187.0	41.0	107.0	54.0	1541.0	543.0	1104.0	460.0	705.0	427.0	1260.0	4.0	272.0	3160.0	893.0	1820.0	356.0	545.0	475.0	796.0	1064.0	1074.0	224.0	506.0	347.0	505.0	242.0	0.0	62.0	737.0	690.0	504.0	548.0	1310.0	577.0	252.0	653.0	563.0	432.0	297.0	51.0	138.0	932.0	421.0	101.0	4.0	109.0	989.0	352.0	12.0	2081.0	7.0	470.0	1539.0	17.0	253.0	341.0	406.0	391.0	2392.0	809.0	349.0	0.0	139.0	1266.0	524.0	93.0	131.0	2779.0	312.0	709.0	1498.0	408.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	70.0	26.0	64.0	48.0	0.0	36.0	72.0	49.0	5.0	225.0	25.0	15.0	260.0	59.0	102.0	747.0	29.0	30.0	189.0	114.0	28.0	21.0	243.0	50.0	2.0	43.0	0.0	59.0	12.0	15.0	28.0	29.0	59.0	46.0	177.0	127.0	2.0	17.0	118.0	55.0	388.0	2.0	270.0	108.0	115.0	84.0	244.0	90.0	6.0	223.0	8.0	29.0	14.0	82.0	20.0	4.0	0.0	29.0	222.0	14.0	18.0	76.0	62.0	21.0	38.0	9.0	97.0	96.0	67.0	65.0	10.0	133.0	0.0	2.0	11.0	110.0	105.0	31.0	12.0	141.0	0.0	62.0	41.0	92.0	103.0	76.0	25.0	17.0	212.0	98.0	60.0	127.0	64.0	122.0	0.0	1413.0	37.0	164.0	642.0	0.0	2.0	9.0	146.0	11.0	39.0	91.0	345.0	0.0	23.0	37.0	97.0	67.0	26.0	1.0	95.0	99.0	0.0	33.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	194.0	21.0	16.0	29.0	28.0	4.0	36.0	7.0	4.0	21.0	80.0	42.0	7.0	109.0	66.0	48.0	26.0	7.0	15.0	18.0	25.0	13.0	18.0	12.0	44.0	91.0	26.0	14.0	76.0	20.0	24.0	67.0	34.0	2.0	14.0	8.0	48.0	0.0	29.0	28.0	64.0	0.0	103.0	146.0	59.0	20.0	6.0	8.0	4.0	7.0	44.0	15.0	6.0	0.0	33.0	0.0	0.0	9.0	969.0	38.0	16.0	24.0	49.0	17.0	2.0	14.0	26.0	21.0	7.0	58.0	184.0	30.0	0.0	2.0	442.0	32.0	57.0	57.0	12.0	32.0	9.0	115.0	63.0	29.0	70.0	6.0	13.0	24.0	0.0	0.0	62.0	24.0	13.0	7.0	7.0	28.0	40.0	4.0	29.0	2.0	3.0	6.0	32.0	32.0	6.0	26.0	148.0	0.0	22.0	4.0	22.0	35.0	0.0	12.0	42.0	0.0	2.0	71.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured	127.0	14.0	0.0	0.0	0.0	0.0	13.0	18.0	25.0	100.0	0.0	2.0	5.0	728.0	2.0	6302.0	0.0	2.0	0.0	43.0	4.0	0.0	9.0	3.0	2.0	0.0	2.0	5.0	2.0	0.0	0.0	2.0	9.0	0.0	1641.0	33.0	20.0	0.0	277.0	0.0	4.0	0.0	194.0	6.0	8.0	51.0	0.0	3.0	0.0	9.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	26.0	0.0	0.0	4.0	2.0	7.0	0.0	2.0	213.0	2.0	2.0	101.0	0.0	5.0	2.0	2.0	2.0	0.0	34.0	6.0	0.0	10.0	5.0	6.0	5.0	0.0	0.0	6.0	41.0	25.0	0.0	16.0	3.0	31.0	0.0	34.0	0.0	0.0	3.0	2.0	0.0	61.0	2.0	0.0	0.0	2.0	124.0	0.0	0.0	2.0	0.0	0.0	0.0	78.0	8.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	85.0	11.0	22.0	43.0	75.0	16.0	30.0	33.0	3.0	133.0	62.0	142.0	132.0	21.0	78.0	48.0	10.0	13.0	36.0	25.0	46.0	20.0	35.0	27.0	24.0	33.0	27.0	91.0	26.0	58.0	3.0	64.0	338.0	18.0	5.0	67.0	132.0	3.0	74.0	19.0	104.0	93.0	43.0	67.0	45.0	44.0	20.0	44.0	57.0	5.0	43.0	31.0	11.0	8.0	29.0	2.0	0.0	22.0	236.0	12.0	14.0	20.0	59.0	56.0	18.0	4.0	74.0	21.0	13.0	59.0	165.0	43.0	2.0	0.0	217.0	73.0	74.0	19.0	48.0	62.0	60.0	20.0	95.0	5.0	114.0	6.0	20.0	37.0	42.0	101.0	24.0	135.0	28.0	11.0	16.0	16.0	32.0	109.0	28.0	4.0	167.0	0.0	216.0	31.0	4.0	98.0	55.0	0.0	43.0	11.0	11.0	66.0	0.0	0.0	109.0	30.0	0.0	111.0
