# Constructed from biom file
#OTU ID	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	983N2	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	916C2	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	744P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	726.0	238.0	1440.0	205.0	5.0	7.0	1549.0	122.0	97.0	1081.0	1326.0	825.0	1872.0	16.0	2126.0	407.0	1172.0	608.0	59.0	798.0	411.0	975.0	1792.0	373.0	1688.0	784.0	489.0	240.0	1131.0	560.0	401.0	605.0	1373.0	8.0	158.0	4623.0	89.0	59.0	1887.0	170.0	584.0	2491.0	669.0	756.0	363.0	1178.0	2233.0	870.0	690.0	1313.0	1547.0	943.0	919.0	5.0	437.0	2454.0	19.0	13.0	5369.0	2045.0	664.0	1004.0	1622.0	512.0	17.0	981.0	944.0	595.0	1156.0	2233.0	579.0	1402.0	6.0	59.0	1514.0	1068.0	1072.0	1380.0	1338.0	3856.0	1205.0	672.0	1434.0	1432.0	443.0	949.0	366.0	1267.0	690.0	5862.0	10.0	1018.0	650.0	879.0	903.0	5800.0	11.0	4630.0	3753.0	13.0	1257.0	451.0	50.0	1648.0	1518.0	6754.0	994.0	14.0	619.0	1212.0	755.0	3565.0	393.0	1566.0	301.0	2480.0	404.0	510.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterellaceae_bacterium	366.0	23.0	0.0	0.0	0.0	0.0	2.0	20.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	314.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	326.0	0.0	89.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.0	31.0	0.0	0.0	0.0	81.0	74.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	2.0	2.0	707.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__metagenome	248.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	727.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	436.0	0.0	0.0	0.0	11.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	226.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	4.0	0.0	120.0	0.0	463.0	0.0	2.0	0.0	46.0	0.0	10.0	0.0	40.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	16.0	0.0	225.0	0.0	0.0	1.0	60.0	0.0	2.0	30.0	0.0	2.0	11.0	33.0	0.0	0.0	12.0	2.0	4.0	7.0	51.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	80.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	4.0	0.0	0.0	4.0	36.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	70.0	0.0	0.0	0.0	88.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__uncultured_organism	349.0	24.0	7.0	12.0	2.0	0.0	4.0	71.0	15.0	8.0	166.0	4.0	0.0	106.0	0.0	62.0	2.0	18.0	0.0	4.0	22.0	13.0	4.0	5.0	2.0	0.0	0.0	2.0	2.0	0.0	12.0	628.0	44.0	0.0	0.0	195.0	48.0	0.0	8.0	5.0	3.0	102.0	612.0	3.0	4.0	14.0	13.0	246.0	259.0	8.0	4.0	2.0	0.0	0.0	42.0	0.0	0.0	60.0	1628.0	4.0	10.0	18.0	215.0	1.0	0.0	8.0	69.0	0.0	103.0	278.0	4.0	22.0	0.0	2.0	9.0	0.0	1228.0	26.0	0.0	4.0	74.0	10.0	213.0	2.0	18.0	15.0	6.0	3.0	15.0	13.0	15.0	80.0	28.0	45.0	0.0	0.0	18.0	48.0	2.0	4.0	0.0	0.0	0.0	2.0	2.0	0.0	262.0	0.0	35.0	2.0	6.0	1093.0	0.0	0.0	0.0	5.0	6.0	202.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_eggerthii	231.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_finegoldii	75.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;__	98.0	0.0	0.0	0.0	0.0	4.0	2.0	17.0	0.0	0.0	23.0	3.0	0.0	27.0	0.0	82.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	8.0	116.0	0.0	0.0	8.0	28.0	13.0	0.0	17.0	4.0	5.0	63.0	148.0	4.0	1.0	3.0	0.0	30.0	189.0	0.0	3.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	226.0	0.0	9.0	8.0	105.0	0.0	0.0	5.0	12.0	2.0	19.0	183.0	0.0	3.0	0.0	2.0	15.0	0.0	153.0	0.0	5.0	5.0	46.0	12.0	21.0	0.0	5.0	0.0	2.0	42.0	5.0	5.0	5.0	42.0	18.0	18.0	0.0	3.0	10.0	10.0	0.0	0.0	11.0	0.0	12.0	47.0	0.0	0.0	83.0	0.0	21.0	0.0	8.0	146.0	0.0	7.0	0.0	0.0	0.0	61.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__uncultured_bacterium	175.0	46.0	54.0	31.0	2.0	23.0	373.0	99.0	24.0	1370.0	165.0	0.0	99.0	195.0	420.0	478.0	7.0	416.0	3.0	20.0	131.0	77.0	262.0	0.0	4.0	76.0	2.0	115.0	208.0	260.0	70.0	0.0	949.0	257.0	31.0	81.0	398.0	38.0	359.0	297.0	30.0	0.0	0.0	24.0	2.0	181.0	89.0	24.0	21.0	91.0	2412.0	123.0	163.0	149.0	89.0	41.0	4.0	780.0	1322.0	55.0	251.0	0.0	0.0	35.0	173.0	0.0	77.0	471.0	224.0	0.0	273.0	265.0	2.0	14.0	276.0	0.0	0.0	540.0	66.0	246.0	0.0	1.0	226.0	1100.0	0.0	198.0	345.0	303.0	0.0	74.0	102.0	2125.0	349.0	0.0	297.0	35.0	75.0	0.0	367.0	0.0	12.0	41.0	854.0	453.0	55.0	814.0	0.0	0.0	984.0	97.0	82.0	0.0	0.0	0.0	94.0	8.0	23.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	320.0	91.0	1852.0	202.0	9.0	634.0	216.0	227.0	62.0	315.0	135.0	750.0	656.0	829.0	400.0	310.0	295.0	718.0	263.0	357.0	819.0	157.0	381.0	366.0	86.0	876.0	22.0	328.0	150.0	299.0	1261.0	342.0	127.0	686.0	166.0	513.0	282.0	1691.0	471.0	324.0	892.0	9.0	228.0	433.0	338.0	187.0	41.0	107.0	51.0	1345.0	543.0	1104.0	430.0	705.0	423.0	1260.0	4.0	272.0	3160.0	877.0	1727.0	354.0	545.0	475.0	796.0	1064.0	1052.0	215.0	506.0	347.0	505.0	228.0	0.0	62.0	737.0	690.0	504.0	548.0	1305.0	575.0	252.0	649.0	563.0	432.0	297.0	51.0	101.0	927.0	409.0	99.0	4.0	105.0	957.0	329.0	12.0	1394.0	7.0	470.0	1397.0	17.0	253.0	341.0	369.0	391.0	2349.0	809.0	349.0	0.0	133.0	1242.0	524.0	93.0	104.0	2779.0	282.0	709.0	1498.0	408.0
