	shannon_entropy
984N2	7.931906721974216
948N2	5.473570756584789
954P	7.303992156026565
973P2	7.9384323057584485
981P	5.469679829717633
985P	7.180479084956814
951N	7.615703607153353
962P	8.204331238408079
706C	5.987615829974933
970P2	7.183172830575863
947N2	7.1347163779531515
952P2	7.605291039827458
971P2	7.243950620781185
948N	7.655386183085972
978P2	7.3238784037449
922C2	7.517100622986662
739N	7.293823835303187
921C2	7.796720590028404
950N2	8.060642966036646
742P	7.932512231127254
701C	6.132495643031495
702C	7.204799565686022
919C	7.615693602458336
980N	7.61526299572129
960N2	6.667142415391176
920C	6.018080686074696
960N	6.9950016227494904
988P2	7.241613601013535
972P	6.900828474008663
923C	5.990411663605954
705C	7.597371798015995
929C2	7.038831973300786
947N	7.2355975292852515
958P2	6.588537743580001
922C	7.534890890203698
953P	6.200507667749055
706C2	8.152282029977052
918C	6.452363066247515
742P2	7.463127686677095
702C2	8.05973862842685
950N	8.343988838906176
990P2	6.5804434215718866
737P	7.688239397542867
926C2	6.791108545943295
927C2	6.982607544820772
735P2	7.715819458868977
741P	6.890819483601227
732N2	7.452639492952615
990P	7.287988628497208
970P	7.071750676308689
975N	6.953208591158341
967N	7.168311386941251
917C	6.990327823730813
958P	7.342152342470853
739N2	7.612240047090387
971P	6.205853075495375
743P	6.55352845953818
983N	7.0838375970033844
957P2	7.063629114642828
928C	7.430575605214492
740P	7.655294144036218
985P2	7.385512245358456
988P	5.986389681705033
918C2	6.837033995087693
924C	7.424752634804354
929C	8.046165828727677
951N2	7.411594509508275
987P	7.0412280591793355
949N2	7.139106272702891
923C2	6.464999478181557
963P	7.486763125985906
982N	6.606949010263298
972P2	7.318378026612067
701C2	6.908263759201552
949N	7.288248591233411
966N	6.699440521295929
963P2	6.671132549950855
979N2	6.626431367683707
955N2	6.56711819581197
926C	7.400536678072341
952P	6.489891503044931
925C2	6.74670108791044
924C2	7.773834325313414
732N	6.867254757178874
921C	7.731062194715285
705C2	7.626459994803312
956N	8.01075099767012
986N	6.139435982920335
736N	6.804904661963553
741P2	6.870124819658244
928C2	8.013809381250535
956N2	7.833703737192128
930C	6.74582435704065
989N	6.413726647916784
736N2	6.8619542163808305
986N2	6.2058020516540005
919C2	6.440593019866886
981P2	5.5280854163032345
955N	6.9187138083847515
925C	6.258880887721323
962P2	7.873274759300768
734N	7.89917963064999
957P	6.9491012561112235
978P	3.931340009017673
737P2	7.753381357137712
975N2	7.202808472985016
927C	7.375450269477133
973P	7.457906416241942
744P	6.269141271460954
989N2	6.261406284800343
735P	6.271096972652393
954P2	7.395027001214997
953P2	6.6098604372013
916C	6.242607666713894
984N	7.504318485915137
