	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
984N2	0	0.5535668876858607	0.4979826512808141	0.4525149318355301	0.5988051128082589	0.5437386666738366	0.4864461296075105	0.5685325812133543	0.6240544187585452	0.4788808166944566	0.4601372292580109	0.5336238889371243	0.5769092606259112	0.5031512869024938	0.4605094748239623	0.5767916446440199	0.5603594166306179	0.4735159572993983	0.5048439113399139	0.4719972827483253	0.6381070126735144	0.4467099509138178	0.4681445784461147	0.5278666716604297	0.527605843349593	0.490730632607899	0.6114405261736126	0.4385146290253812	0.5663896174555	0.6086734180798694	0.5648906442745072	0.4516779565658197	0.5330698286465654	0.5917162737974997	0.5233337893176673	0.5936079542795957	0.4851719538168896	0.6161716837334508	0.5465052303247568	0.4549993288367266	0.4751977478954968	0.5605913023613419	0.4636625181998537	0.6150597353780849	0.4441544399993699	0.4921109437248171	0.54181299527204	0.6113841902232982	0.600193998087713	0.6217881735414239	0.5997722765906018	0.4683520029679654	0.4636154740586224	0.6220672977168906	0.4654005285115559	0.5488056166597941	0.5316669987111622	0.4651157479143168	0.4682180653345202	0.5659626166911814	0.5582669812132954	0.4705210550764082	0.4362146864037896	0.4819584942596669	0.4760146229590276	0.5705959379719534	0.5738986502316376	0.4959078757573293	0.4679076071909546	0.5019386746655972	0.4251354523946389	0.5552121223115251	0.500324945234476	0.5540678382776114	0.5311737638223006	0.6032790628932766	0.451463685967927	0.4867712450154372	0.5299055957788069	0.4826777028838742	0.5786614463695635	0.5224802009815686	0.4743615251074218	0.5341356948385044	0.4656380840358004	0.4773939494564539	0.4691586847528833	0.6337590647468292	0.5304413645522887	0.4811817365583545	0.4682885049183262	0.5567911418841366	0.6022107370252463	0.5330744077659122	0.4355470142308074	0.5269010730792991	0.4315395825954917	0.6213767163433521	0.5953494383379403	0.6625057251121166	0.503319376898725	0.5316049516701388	0.5918471643111267	0.7150403001908918	0.5562554138704341	0.4760828232834219	0.4586222993464379	0.4570151938412907	0.5939072298524889	0.6105626244446932	0.5181482929074721	0.494364263135411	0.544281673267958	0.65639711105315	0.3201475422065749
948N2	0.5535668876858607	0	0.5862323826288767	0.5658776203184209	0.6273838111611617	0.6282810020699865	0.5473840768973413	0.4269478178069568	0.388908172452709	0.5679337068446947	0.5541775091099553	0.3743727888103219	0.3922484027256529	0.574653875783206	0.5503606146273236	0.3753267196290986	0.4014587945861391	0.574422352927308	0.6003931693209705	0.5916677812703723	0.3722390677486598	0.5345845823942098	0.5661375911214781	0.6107349508693137	0.5856460232538547	0.5252733428752447	0.3871549764753859	0.5687056259908841	0.3285709370017161	0.3362049760798247	0.3963302424058073	0.5292869172073252	0.3587909928012482	0.6115491973355858	0.5672932854051681	0.3425188792055813	0.6156342441868471	0.3339966987280059	0.4235365854131751	0.568350417033132	0.6075404298614212	0.5789459835048526	0.568104445710364	0.4546589926368661	0.5515228074134033	0.6172097181659491	0.5915361213762669	0.3813591718964344	0.3262673065519779	0.3958835033759451	0.3640790765621121	0.5546957766521229	0.5541600004013394	0.6611040539669139	0.5907952513228353	0.5513424214541111	0.5812165953381858	0.5355068929843804	0.5278963551926583	0.3951457570827543	0.3925247834095923	0.568436384490937	0.5510670940867585	0.523267205322944	0.5553016465291416	0.4123903257252006	0.3820173184756452	0.5677355736151133	0.5684722488019558	0.5466632113709836	0.5228440282812804	0.539570685370131	0.5533852576618081	0.551109642469843	0.3602852093980067	0.3891407773719232	0.5310334331261303	0.5599080868584942	0.566411218411959	0.5653189642071145	0.4206774650990765	0.5907577616690414	0.5753053640792354	0.5529225585678271	0.5494613109817598	0.5674490771066867	0.5804788197303482	0.3299945010944142	0.612116944945152	0.5585261948937316	0.6114794063301463	0.3817430780568056	0.3869056742585433	0.5448535415678167	0.5318956050018641	0.5607173268578318	0.5633692804320232	0.6348507072176598	0.3600594577989769	0.4019242529685716	0.6021177299168072	0.6210421740231084	0.3520326402166879	0.4230767957441772	0.3678002519610992	0.5325923215478588	0.5522178269515411	0.5840803318065961	0.3051871590092678	0.6255404842463297	0.5996710708057961	0.5673148144624691	0.5788428076632407	0.3184890882672209	0.5558411551815986
954P	0.4979826512808141	0.5862323826288767	0	0.4329731370561049	0.6152326745133071	0.4712070348440964	0.4373456740715859	0.5627116557220061	0.6203184336569892	0.4059075838822004	0.4316425147794878	0.5361364264205767	0.5489976557458732	0.4770971026489877	0.468996718869208	0.52991516165924	0.5136830153632389	0.4712134847661367	0.4673200323412154	0.4322049944451395	0.6175423460661198	0.4374338045633455	0.4511328357763093	0.4934220177849584	0.5518214724006913	0.4564444639900531	0.6376528437819059	0.425880750451098	0.518924173954223	0.5681658854497985	0.5473687034750699	0.4181630737430567	0.5485023070034819	0.5141428405226923	0.4790638741505333	0.5693060269950834	0.5284124368596237	0.5951731051604692	0.5455716474311947	0.4670692064328365	0.4628698903326775	0.5423938032828542	0.5008082269680919	0.5728304185473864	0.448195336129223	0.5038759562487579	0.4382972189499727	0.5858497107651801	0.6027263821527324	0.5625793693042845	0.5263831450396518	0.4833872741971021	0.4286929496535627	0.5754026349198468	0.3988298673153139	0.5201594724763097	0.4725339491178937	0.4156025143933192	0.4079928217262042	0.5628615538272813	0.5420742341420286	0.4653342199990387	0.4473540293898777	0.5105283153358977	0.3925860035590969	0.5493278290190311	0.5113948698346542	0.4227512645167752	0.4477509431159689	0.4803931764384323	0.456377249433929	0.5371426953449846	0.437832362561979	0.5170654644925193	0.5561059338449005	0.5482935660856166	0.4401866119448224	0.3964431417210639	0.5615346290951558	0.4257848308075225	0.5950375646843731	0.5208706921068985	0.4110576587942097	0.4529901732644767	0.4498221197849258	0.4504199577908761	0.464850020470009	0.5895612468710675	0.5644333722266023	0.4637130273735349	0.4577216666272191	0.533583394703373	0.5712368496415491	0.5238049460876796	0.4949428939807494	0.491318181730226	0.4084271173287258	0.6083971075852831	0.6249287542340189	0.6367706557294724	0.4854610428525937	0.4843585188742642	0.5535532485839436	0.7065751155258964	0.5859148636366516	0.4358440514774695	0.4173328035629129	0.4086715513906284	0.5492653758538986	0.5685221727910105	0.5492351889105049	0.3279776338588214	0.4819350556046615	0.6039197957423538	0.4943006094054548
973P2	0.4525149318355301	0.5658776203184209	0.4329731370561049	0	0.5685094063349412	0.4609394631239181	0.4595212815659084	0.5488453115433227	0.6087741324761146	0.3989316855373519	0.4537113935620843	0.5313830432838814	0.5587986337458292	0.4895905521646672	0.4311967212045096	0.5438818862801243	0.5247193521320612	0.4678225013777323	0.4875571126029679	0.4096066071294549	0.6124780210231345	0.4096865452162678	0.4617571415701158	0.4767201378157881	0.5144966181705342	0.454593056067072	0.6208151359895837	0.4446999589742448	0.5402206819849269	0.5451211480326302	0.5539280011488255	0.4345450988976282	0.5278848236056238	0.5509267534738921	0.474402165628489	0.5703545917357963	0.4907072547645452	0.607359213485244	0.5274886808934495	0.4222801054901542	0.4897892071256757	0.5082103383290596	0.4521022552411157	0.5742963613152163	0.4158566661715969	0.5085438418036798	0.4512690517924255	0.5622506364924688	0.5919477389482737	0.5644388503515363	0.5231288198753742	0.4470867848420264	0.4585527682133095	0.5761600161878123	0.4417726772375953	0.5433646698153525	0.5027630250164646	0.4588913309083824	0.4286561767683024	0.5592808385915101	0.5119109772313499	0.4416313982415253	0.4271355613295242	0.4969036003526842	0.4555662570746679	0.5410250383473793	0.5515383064101883	0.4565916967383192	0.4635181019181197	0.4821391843915225	0.4507702863285675	0.5226773192021283	0.4385711170741845	0.5388841746945019	0.5272090639594998	0.5778245778846477	0.4706305368157381	0.4356143925380115	0.5139524808502723	0.4360372019720688	0.5926452689578928	0.4964707272962215	0.4732683026931112	0.4852504281014485	0.4964268862083369	0.4486421172012702	0.4257254063257335	0.6043535401826848	0.5106474108423755	0.4649945426770581	0.4707823987593048	0.5522391609068455	0.5751472462501994	0.4765950636626849	0.473922233663192	0.5032162916667369	0.4108904794148808	0.5906168279212199	0.5721137385972966	0.6491509135687614	0.4948182028313207	0.4633054525035684	0.5751898833315935	0.7126789421261922	0.529356772015829	0.406867853969218	0.4517274231731491	0.2739947934401546	0.5822600259997958	0.5753872084203767	0.5624065609836928	0.4378366563557196	0.5145982826579366	0.6241795575354442	0.4607990331754708
981P	0.5988051128082589	0.6273838111611617	0.6152326745133071	0.5685094063349412	0	0.5752841679289803	0.5790726265506843	0.7013797596853109	0.6649203007266919	0.6244962352720181	0.5869334554330425	0.6729465467737084	0.6645411037753882	0.5323581885242857	0.5128980794560128	0.6813828227660886	0.6904359188830997	0.6396258136805664	0.6337636689828192	0.6253126404263346	0.6903835137886775	0.5988509056664094	0.5926753655076847	0.6143450074104478	0.5166381643310597	0.5130629843820793	0.6167182892480213	0.6008072759954848	0.6453541089311482	0.6257644889777526	0.6828969445542737	0.5916857317519031	0.635594239666189	0.5854395782016435	0.6269253043983201	0.6257604818168585	0.573602276168987	0.6749250992404129	0.686537289395002	0.6249925330973528	0.6348547211235316	0.5286572031531446	0.5981257871249721	0.691306712059386	0.6135798595201456	0.6233988900808167	0.6099509576256805	0.6274750291549744	0.6390501611985898	0.6970639687214515	0.647114115332639	0.5697871024780199	0.5628859335758417	0.5957165798239011	0.6432184412350487	0.5589211298087509	0.5322885718716744	0.5366159494518337	0.6041784131865325	0.6913253825390309	0.6685603942849078	0.5337540645400713	0.5949195735047434	0.5711085849921178	0.5916071305694258	0.6850877391743107	0.6595436071402803	0.6093044415915546	0.5386034536682406	0.5289994871164522	0.6054122314772103	0.5274623724034031	0.5525404338604121	0.5077984524386125	0.6447576812603417	0.6648674412946568	0.6057069208321332	0.6070583558218938	0.4909954019257	0.5598137058448511	0.6745682061569482	0.5543861405805666	0.6093352956989236	0.5304768453502513	0.6216801977930319	0.6003508401373869	0.6128888288782891	0.64574865044389	0.5105392152042864	0.560988863445547	0.6392079866938176	0.7015329745673718	0.6372493462196924	0.5349316282407414	0.4945154363625833	0.5573542292865258	0.5401304377778978	0.3676158285787277	0.6338320141053878	0.6456290261666968	0.656758119941227	0.6369840864604168	0.6753458057323142	0.6673698717860207	0.6818187141389929	0.5856112720691404	0.614168021939971	0.579634311693928	0.6415804514191943	0.5321026299459964	0.6035565058453456	0.5961014212916904	0.5437783391213337	0.6237088373466873	0.5894850238165916
985P	0.5437386666738366	0.6282810020699865	0.4712070348440964	0.4609394631239181	0.5752841679289803	0	0.5303059909350981	0.6098432849471135	0.6435593377284817	0.4887652201584932	0.5256939486426716	0.57868526461549	0.591480818388771	0.5221375501922694	0.533930685518815	0.5896909542189063	0.5933187251799291	0.5283479971120735	0.5159747056599674	0.5057017302808953	0.6616511241430088	0.4981162815931607	0.4812305115454781	0.5554907859636943	0.5533133321862225	0.4877966768306992	0.6363886944068792	0.4870158067874963	0.5867656612036201	0.590011132542552	0.5968799126336369	0.4783533329502116	0.6128487313680264	0.5041044347342569	0.5107111322648558	0.5769136902796201	0.5530285270034715	0.6462177127225024	0.595290247310082	0.5019498772953981	0.5231235405800316	0.5612369448749236	0.5306389140478092	0.6068907285369819	0.4962837743260055	0.5273646532267643	0.5351727602790353	0.6106246191082173	0.6601283503585668	0.6393220539864102	0.5912904382137734	0.5400582544713831	0.5087752302586592	0.5326388883402671	0.5144510198993629	0.577786233679918	0.5251341832096671	0.4807599410670023	0.5316656154594347	0.6223850566378406	0.5731031791916953	0.4813448140382751	0.5066974646204374	0.5227567130888801	0.5022179661319996	0.6067891094807052	0.6085515751570046	0.5367865027279428	0.4578929779940253	0.4947355065692399	0.5517744618229437	0.5462998240903646	0.4907086436094762	0.5365272100287471	0.5827764458222853	0.59497070654533	0.5689871044297835	0.4578593518431416	0.5568553248177794	0.455066541056991	0.6392504485068486	0.5266350730396876	0.5040283445023357	0.5235409601354934	0.5457435788220222	0.5041210959236047	0.5186777213258901	0.6210482602028964	0.5728641814412131	0.5233857209480876	0.5408889103409756	0.6070511138947517	0.6202356089681718	0.5349704060935777	0.5357135585803674	0.532052220209884	0.4902668058670864	0.5894584357991067	0.6410476064282014	0.6702651062601338	0.558103586619446	0.4920861961507317	0.607624936932642	0.7394081956951887	0.6112972293304363	0.5271595738048883	0.5445537876141788	0.4868991655581308	0.6056040941722638	0.5643443262094805	0.5675112879400634	0.4838279833319014	0.4888518263270886	0.6366249614475763	0.5490650476905795
951N	0.4864461296075105	0.5473840768973413	0.4373456740715859	0.4595212815659084	0.5790726265506843	0.5303059909350981	0	0.5612193464252854	0.5906799014791513	0.4604586170752001	0.448651998713852	0.5451284738662507	0.5407585951976436	0.4859521758303092	0.4272882809860985	0.5707594062040359	0.5571041451797428	0.4842134213671265	0.4991563989923437	0.4584388617101245	0.5995521360134702	0.4244348523620424	0.4611808953084925	0.4614001722151746	0.4713564236440315	0.4100983075198098	0.5885945388224351	0.4435241401354256	0.515348320188765	0.5212690472479981	0.5900219283480589	0.4381409332825216	0.5351989342708031	0.5354517623106964	0.5030229847939029	0.568144109810476	0.4419555045574897	0.5580463362450975	0.5474212165858324	0.4225903530071582	0.4980645794372349	0.4645361827045514	0.4854777555055912	0.6238879369287512	0.4571769277976326	0.5003768503611059	0.486288675839294	0.5601198857276954	0.5218497966883651	0.5976164929746556	0.5371740724202898	0.4238465425862121	0.4449209658625715	0.5709487532559033	0.4922196477647336	0.5028971768553144	0.4424426667923784	0.4556610113367791	0.4361218323345384	0.5815099870591045	0.5631665844016882	0.4821583119660557	0.451751779353919	0.4534055121603602	0.4456534112082777	0.5624431005880887	0.4168318955892664	0.4514725230259177	0.480764868072988	0.4191849396665639	0.3921385000352356	0.5009737923320197	0.4290711915248524	0.4890679744918992	0.5676210477511078	0.578389752234738	0.425794581665128	0.4686655007995303	0.5269686883486514	0.4779748522705554	0.5801974436817823	0.4894382059419318	0.4259959563259987	0.4536878846283851	0.4823153254961218	0.4795594279486313	0.4911789507184545	0.5800661608223657	0.5072898766985258	0.4541274707977322	0.5071889737037233	0.5582785449367949	0.5286185962089313	0.4658202747148453	0.4262986029761709	0.5025222879527949	0.4754506934519886	0.5772649350648787	0.6018158482886502	0.6203850544733265	0.5019214492411789	0.4754289908307201	0.5676405363851093	0.688145340824319	0.5875008060866701	0.4125202307392193	0.4245062789331912	0.438639879803835	0.5447834853146157	0.5393282134646987	0.5535274841877071	0.442648365697665	0.5037996004991404	0.5835461785873003	0.4985646386981833
962P	0.5685325812133543	0.4269478178069568	0.5627116557220061	0.5488453115433227	0.7013797596853109	0.6098432849471135	0.5612193464252854	0	0.4813124052174604	0.5669982214144296	0.5790376853222476	0.428287830880719	0.436013089125706	0.5954900975391629	0.6030149801067178	0.4168759686451615	0.4050669539905534	0.4771081147760434	0.50722619748126	0.5240853050650093	0.4986300474553076	0.5401636951384863	0.5780297556784938	0.6019166917243156	0.6515038828464672	0.6025077966296247	0.5110774451874726	0.5722042454583831	0.4232551288470998	0.4427429714212993	0.4440097878020927	0.5605965011481188	0.4241239239460637	0.6312008780100915	0.5758450493840627	0.4590910126353768	0.6257445624161152	0.4599479579679281	0.3736137256539072	0.554413997557906	0.5055328796006484	0.6490588904460906	0.5709937868353049	0.50115159403786	0.516442518198821	0.5626770061461429	0.5692345107933879	0.4774134300862329	0.4765146179428617	0.472239604556479	0.461323589189726	0.6045950586271731	0.59899177115142	0.6790823071409584	0.5430481707947256	0.6388459375930152	0.6295238924237915	0.5773041732579578	0.5713307816758135	0.3494366833023639	0.4077783929558151	0.5998660031276333	0.5758585063268156	0.6087472641485491	0.5431348481989133	0.4685413885199728	0.4495664740004245	0.5835027912461531	0.5903492647165892	0.5991748771044808	0.5382508080274762	0.6325993546394997	0.6153536308928029	0.6348545304386355	0.4260944431559696	0.4779650811669653	0.5768391112331506	0.581693524679701	0.6750384830295926	0.5877186150230884	0.4424279542209822	0.6228202803194495	0.5406828492121193	0.6476638561950747	0.5110708116836352	0.5808878930898056	0.5471867283521183	0.4942380099702769	0.6644369155614195	0.5749174451077275	0.5409447043807964	0.4068755152545527	0.4823737081008104	0.6091345588349056	0.6075021674278764	0.6389222120465562	0.5892431891986831	0.7174590388315116	0.4964634220688129	0.5332561141411257	0.4069892453119027	0.5315492174840266	0.4078079637747277	0.5898232290818386	0.4373177939184771	0.5563811517721512	0.5416848185041604	0.5678809618535997	0.4847972317145061	0.6896995788772513	0.6412612192950236	0.5554914129015738	0.6344039977292484	0.4774105938691407	0.5791100299247336
706C	0.6240544187585452	0.388908172452709	0.6203184336569892	0.6087741324761146	0.6649203007266919	0.6435593377284817	0.5906799014791513	0.4813124052174604	0	0.5977258390723756	0.6081130917130799	0.4517868375475571	0.4079873778942953	0.6273011499601131	0.6140320674937018	0.4713945704307291	0.4850892631080028	0.6333330299118094	0.6446840319254679	0.6182750537682531	0.4821259215820748	0.6043181878823192	0.6359790058313984	0.6157602380670129	0.5781562111822742	0.6107362154848524	0.4033298517999826	0.6000949398230233	0.427697964341033	0.4224814484007071	0.459500197065052	0.6242428202852809	0.4375488983237039	0.6367322043234119	0.6227227661749485	0.450411932823224	0.5431052608283431	0.4098089914501536	0.4563375848609724	0.6213835217377944	0.6423602707400078	0.6149939952668698	0.6278663899461202	0.5026075233071687	0.6163797521964346	0.6238291465195316	0.6143548232910235	0.4129563815209654	0.4054517715865203	0.4109581329347309	0.4455362073747148	0.5901585221420768	0.6187333582662433	0.6387541322050178	0.6635900364937832	0.5682426467168504	0.634295362103225	0.6271471819439089	0.5883119534401153	0.467502892896647	0.4520859050792657	0.6206296415436959	0.5745530234902839	0.627333773599701	0.6180308294569375	0.4862694624662868	0.4151877579514812	0.593189943846877	0.6380803325443721	0.6153338181478364	0.6021661557624869	0.620564994486808	0.6096766737211382	0.6589872089081019	0.4646885401111816	0.4499172999863901	0.5818340917467548	0.605884151541798	0.6318617740116612	0.6402408508932853	0.4929065358397441	0.6227535439263134	0.6264347134559063	0.5884927788854897	0.645082150538389	0.6053529961032755	0.6359389163281406	0.394842895604527	0.6307384907071538	0.6069643390248609	0.6317519258995118	0.464034033293153	0.4309673696800392	0.5976572399732725	0.5948789150085089	0.6346640275063125	0.5933583991843115	0.6811212526007345	0.4528432469204143	0.4402537808991258	0.6636211729170413	0.6130681209888926	0.4164337084878962	0.4725767255526955	0.4539136912897146	0.6037299472175949	0.5839188246970209	0.5656115031590006	0.4273819317611645	0.6823028248617082	0.5974394858401261	0.6416962316649691	0.6443640068311508	0.3957169838251642	0.6528715941209846
970P2	0.4788808166944566	0.5679337068446947	0.4059075838822004	0.3989316855373519	0.6244962352720181	0.4887652201584932	0.4604586170752001	0.5669982214144296	0.5977258390723756	0	0.4051476976015279	0.5021224542008377	0.5436752372036703	0.4933889324991285	0.4550625347429524	0.5631884008287389	0.5164379038302529	0.4508919082708284	0.4950040919902616	0.4259015594491726	0.6128696854179041	0.4196618829335819	0.4734039187924406	0.4403402886193923	0.5368973980929802	0.4351777094834661	0.6341891708728075	0.4167335424524436	0.5169087724232108	0.5523740087494524	0.5624264506801316	0.4233034756698424	0.5337959269083629	0.5287034523110347	0.4866540827603631	0.5306991863010888	0.4693005894638151	0.6054232680307298	0.5068712976373095	0.4238720760659499	0.4536781002743011	0.5209294250706573	0.4552080639133691	0.5818359368618268	0.4293193028766814	0.4655717384095633	0.449915091742417	0.5764350021538494	0.5882729895458402	0.4501965006583657	0.5054831135657468	0.4425669430851178	0.4617043727568094	0.5639035881901839	0.4037918932844233	0.5181434150307109	0.4942451217225957	0.4331266688333276	0.4054009406265615	0.5588241531167417	0.489341723645696	0.4650694933692995	0.4283358052168402	0.4634144154978551	0.4525234304083848	0.5427788201878192	0.5439094092054542	0.4293493061198388	0.4634450922892114	0.4732165213881034	0.4214849059571	0.548544140880951	0.4441318854968295	0.5329892710397095	0.522161155745119	0.5169357298745541	0.4637750621408325	0.3770232810363677	0.5347849102584746	0.4491523443234027	0.5862971262083368	0.4517055649455641	0.4452334114575032	0.4871651362475395	0.4733821077694889	0.4565853019425624	0.4573060929085259	0.57656193718766	0.5547993220901701	0.4184074558118995	0.4781962776757713	0.5317569125345049	0.5669298624707018	0.4535000381221441	0.5026090836972056	0.4820463898611608	0.4699141278255168	0.5945273501338456	0.6058256090150046	0.6424982784755761	0.5091918312740261	0.4551705122729596	0.5698371863092998	0.7064510882124836	0.5167646886256723	0.3908495643345514	0.4765337685395723	0.4253853005668475	0.5708868866695095	0.5549761885571052	0.534995234646431	0.4084659686038835	0.4562139860058903	0.6288723959007381	0.4472078300624354
