	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
984N2	0	0.2264551545175091	0.2454311371036187	0.2605155977333968	0.3092440673802107	0.2500186397870174	0.2827840598352365	0.2441687015789869	0.3442737750612695	0.1753273549338986	0.1933799455075814	0.2273912130749457	0.2902348443840856	0.2367946724994208	0.1911558388448168	0.3001537244369492	0.2160883229764088	0.1964502071379228	0.2817102758696877	0.1660158283537577	2.663221456977981	0.2249751274250366	0.1807552760388759	0.1977618912605289	0.2813544739510419	0.2751297127581146	0.2519333215576833	0.2058071151588759	0.2606866746681452	0.3866960834012453	0.5379855973387017	0.2401297743685244	0.2111607927013685	0.2649003214146214	0.2818171846948297	0.2531284260036199	0.2135271827439854	0.2753653938499027	0.1947309299183801	0.1833086161107995	0.2312246992611169	0.2641950359234117	0.1482664372906052	3.179301811942887	0.2916580406775362	0.2090364279990403	0.2481125640009139	0.2595439873838968	0.2228429384767149	0.2784933548444044	0.217762355890144	0.1993037875044067	0.2910904276259388	0.256060961433703	0.1842958851776433	0.2614747824982079	0.2041166710610248	0.1602085010884094	0.2467532337430848	0.3070446404962937	0.1786120248400646	0.1800322488125706	0.3181935575310575	0.2406303572824901	0.1954176444746089	0.8203051271844199	0.3070785977042815	0.3005504593791861	0.2094963072840115	0.3034746039435478	0.2741898584361628	0.3074647568630095	0.1929594498341824	0.17978500379512	0.2232722665934423	0.2073245780007276	0.3326610353094562	0.2542369158194781	0.2233613266183813	0.2145533204145001	3.323652690408009	0.1992484851813174	0.2896097370537243	0.2438853560619381	0.1865935774427868	0.2354375029461505	0.197202453467771	0.3538045193339562	0.2760114484358733	0.2551073179332261	0.2136087222476734	0.4016579842224596	0.2423554678495503	0.2472225273799402	0.2401236970927956	0.258813903581082	0.2269957355769733	0.2977647080937103	0.3298201401259518	3.359503129287178	0.238431672296416	0.1980858687217192	0.3570787055341674	6.870391222408701	0.1312345106759641	0.2052903205874047	0.2637089850065062	0.2618361188583875	0.3610028886250483	0.263885295878596	0.271136460242859	0.3101701553291659	0.1992773217915021	0.3555738660999263	0.1298748239424514
948N2	0.2264551545175091	0	0.2389876093031826	0.2478611860042525	0.2608752345739566	0.2713781752060949	0.2123036937664807	0.2117702229222503	0.2757277634141886	0.2080930309768204	0.1686007603733087	0.1781863062937855	0.2102522263435856	0.3075545244775865	0.1930128703749981	0.3371470128081396	0.1609701052641078	0.2619254613125886	0.3316027816433464	0.2172824448224983	2.673829509467142	0.1444554108312884	0.1787756492725487	0.255766028050635	0.2281739683260577	0.1960353071218252	0.1805766419223811	0.2090060528306923	0.1722303117258695	0.251577668114072	0.5519909450376024	0.2282713059250168	0.2127961846528759	0.2208534453853844	0.3195439347971317	0.1775108376468517	0.2716168710658522	0.2158117682798686	0.1980240988315294	0.2285943347880388	0.2338834131465196	0.1966670683265769	0.2048091320738906	3.161075275335022	0.2473078267632291	0.2140376129535847	0.2557344219123598	0.1425040840321091	0.1394320289947516	0.1737108096929523	0.243043761880094	0.2292344952876132	0.2300419204242876	0.2824615698415262	0.2047151947769222	0.2041353933737219	0.2081837937930492	0.2316983245430153	0.199469587833102	0.2350307957053627	0.1974618758549483	0.1626972480912585	0.260286624865447	0.1860732370450957	0.2271934943406692	0.8012239565905102	0.2348589589208746	0.2928324025298372	0.1655831346762122	0.2354923655014624	0.2088629182294223	0.3519306038012742	0.1587017944179473	0.2368162794840825	0.2481549803223894	0.1587856429643128	0.297755557801587	0.1920602615652294	0.1971053914106558	0.2036493278610842	3.292101313731746	0.226357981914916	0.2561013600032224	0.1839450824781815	0.2342468788152305	0.2190833757327037	0.2296631631149816	0.2172089117839257	0.2291038369759335	0.2664293218289849	0.2638619690713987	0.358531894056396	0.1765818853337919	0.1960421505716799	0.210103114370805	0.1983450962767207	0.1922636120346567	0.2518485512779405	0.2435870882976771	3.336845564553948	0.2506863351571448	0.2153233411794993	0.3332017316310701	6.855580941098694	0.2159039620402052	0.2527390279870802	0.2155754185090399	0.2022229406555709	0.2565771148350876	0.1969512643155125	0.2736764129865735	0.2817141125690677	0.202921573596488	0.3088391019119573	0.2101180423709509
954P	0.2454311371036187	0.2389876093031826	0	0.2364771843058071	0.3265096599773177	0.1974143176932879	0.2111251813350238	0.2251042964861101	0.3590835366482643	0.2294840047713156	0.2335639550094776	0.2310115684156102	0.2543613831638779	0.2792922015069673	0.2552460815799888	0.2904641379586108	0.2064823037079856	0.1776449134832213	0.2562916847955462	0.2091555728925636	2.727993051700141	0.2178427562872057	0.2094324885105877	0.2347034962886549	0.2946380620494704	0.2808779650541606	0.2824989600692456	0.2142643130972434	0.2682983561366165	0.4001963164373453	0.4808222254840664	0.2289725588530596	0.2952309520905202	0.2580979491419216	0.2896959048072851	0.2500549143531033	0.2786444731893725	0.2151274597217258	0.2360506268294575	0.2154116281718221	0.1455891635876856	0.2796999361225238	0.2498478446790044	3.21995230308579	0.2340945308785226	0.2181210438120465	0.2061227067992935	0.2714433845449821	0.2587464039616832	0.2083730810829867	0.2604436291267592	0.1540272638728507	0.2209066402531429	0.2286933776861289	0.1705689980799386	0.2220318336890437	0.2759052475114683	0.2339241975888146	0.1624325960104323	0.1628739891255213	0.2154205673964705	0.2042490593916524	0.3131174081482418	0.2291608992920531	0.1230179939255049	0.8096503200464719	0.2470836666867669	0.3138429275281722	0.2452142352259016	0.3285592132054694	0.2207072405789574	0.3556162500842499	0.2171149013096234	0.221190991272482	0.3162788856384332	0.2391036328423664	0.2577825820799383	0.2515264249190121	0.2704233540996835	0.2167055424032324	3.368673193142766	0.2452488846229758	0.2044071261721235	0.2428481327015238	0.2266877279454821	0.1461511863411389	0.1728154338657205	0.3463282208522807	0.3063182015157391	0.2562807725245295	0.1846974490601649	0.3985701867909181	0.2777271620096629	0.2213084149712441	0.2915716433369305	0.2687972584012641	0.1932023696826738	0.3214606154439957	0.3382376714609873	3.406845566368636	0.2646948176605251	0.2081876007401499	0.2961072637681904	6.911382646740106	0.2506656605564201	0.2648524986822313	0.1601378713529505	0.1857026290918722	0.3893729483659097	0.2552302348398419	0.2002810929347656	0.2254510070630515	0.215970859098085	0.2791053989289183	0.2252785678301349
973P2	0.2605155977333968	0.2478611860042525	0.2364771843058071	0	0.3225705946506721	0.2482985015727033	0.2618713218645537	0.193090439716242	0.3361786027156959	0.2391956456069025	0.2376047543099139	0.2568039207036391	0.2845541690583134	0.2757221320262664	0.2693160249771214	0.3004047402155225	0.2316104125787155	0.2524324323063044	0.2618899779901771	0.2116870884986974	2.75546640206245	0.2354139467127149	0.217313160984426	0.2197464828881322	0.3150409260000524	0.2994341662937066	0.2950652587269516	0.237469868111248	0.2665005628650941	0.3981658899788492	0.5956442326428566	0.2522244022970678	0.3059753115226146	0.2627553567475203	0.2755955045931501	0.2820151318153095	0.2304473766247481	0.3083813310861095	0.240631824010087	0.2194460184017062	0.2019389379795797	0.3090584824867226	0.2548622227040631	3.194236771711282	0.2902699907310304	0.2166980822019736	0.223073852920671	0.2780492782396355	0.27355619056239	0.2794628184089869	0.257425660006364	0.2522648478225293	0.2673626778587964	0.2513831728184441	0.196508435894776	0.2766924635232001	0.2941589937363061	0.2575263178441219	0.2565392993939137	0.2949743349374567	0.1973789885246281	0.2314269426936861	0.3237069597163656	0.2515000664025327	0.2419255325138316	0.8390374929477324	0.2834047615562332	0.2981784664829791	0.2529795543514914	0.3195560772921637	0.28776945096991	0.3330624193783799	0.2285141572522624	0.2815635256903338	0.3373165748158625	0.27900526274421	0.3145663907240956	0.2488276041338676	0.279344261545022	0.2217537608655175	3.371711740171214	0.265837952936486	0.2509905191072305	0.2532186714290153	0.2235625842938888	0.2100201755418343	0.2146539650639163	0.3402261175262819	0.2926389665638812	0.2948722896493929	0.2068189750109743	0.4449350233701719	0.3019559306173562	0.2639618562253921	0.2676844166969816	0.2676356229400464	0.221987514806577	0.3216308649082421	0.3485754686986677	3.41462226881419	0.2127994928794549	0.2128501297297458	0.4118824001697726	6.90422807719502	0.2708709922959213	0.2504266658223974	0.2551739418830749	0.2141079882881458	0.410826360443547	0.2908205886902404	0.2538648934008603	0.2884772192707608	0.2572221098005434	0.3440000974805986	0.2416245694706238
981P	0.3092440673802107	0.2608752345739566	0.3265096599773177	0.3225705946506721	0	0.2399841051174308	0.2714992804293397	0.3166615192017392	0.2811346824504294	0.271704734972412	0.2264976322681179	0.2950154486839034	0.3365589936089659	0.3353637788871545	0.2647545675242091	0.3900431895503371	0.2518109016711112	0.3467333990499821	0.363551514996108	0.2888565743446941	2.788160946606643	0.2266827100742416	0.2392442780916171	0.3127765026204935	0.1451187357106518	0.2166799334742922	0.2197411057810423	0.267590119670037	0.1922611054621256	0.2513151985125164	0.7051379116366007	0.2885132267936623	0.3139573122963211	0.2117016513163449	0.3578280811114362	0.1920749242612705	0.3035529176947458	0.3327351195206447	0.288910489250748	0.3296150246094902	0.3217307750397027	0.1915460119932811	0.2660737775615162	3.25718687088831	0.3087112992631057	0.2760246029658738	0.2996482205441661	0.2453230292077994	0.2584513347418861	0.3068946299545673	0.3105314669741435	0.3047898613328924	0.2685252107879665	0.2856463813777615	0.2689591492823997	0.2013552087299833	0.2392271745098614	0.2864005764680697	0.2640666273154907	0.3828266789817719	0.2688231124448845	0.2376573804356647	0.2158419103931488	0.2042331199262889	0.3227948683868158	0.9256736545732782	0.3029318076191233	0.3483547628907484	0.2088735401979079	0.2220094518183548	0.2592370616490977	0.3353124917002768	0.2108537805806142	0.3045857784193705	0.3763812355498565	0.2414252623674542	0.3094121231678918	0.1825122672381854	0.239699026066372	0.2471767289549386	3.383616497955483	0.2796547535894081	0.3147448985166733	0.1815586924978928	0.3041778682145264	0.3181236743028911	0.296148799419567	0.241951031374904	0.1577203757865353	0.3075845014760079	0.3402800650655405	0.4958883703896806	0.2148343384109106	0.1843650131420914	0.191402573242005	0.1905521686060995	0.2491339373908168	0.09960475444442178	0.3482050901312189	3.40168660315203	0.3196899317327614	0.2859625114210362	0.4847260080372084	6.867259480977491	0.3212266748479753	0.3083130760082863	0.3023066914341105	0.2908248150308315	0.3263433361748812	0.1549181309611305	0.3202651157289167	0.3307200238185972	0.2397605524784152	0.4125513923594451	0.2698057181477821
985P	0.2500186397870174	0.2713781752060949	0.1974143176932879	0.2482985015727033	0.2399841051174308	0	0.3149561255368554	0.2139434047803435	0.3534953781666338	0.2251325593708272	0.2272166060453405	0.2228079731763796	0.2547565260837447	0.2381446680909286	0.2674613793109746	0.2724002661151706	0.2079526405136013	0.204506422434457	0.2275727505177342	0.2112196307665075	2.723770732079418	0.2472561390393176	0.1888951539336171	0.219011631841208	0.2807364280128807	0.2791958378523962	0.2624857025006122	0.2116441052236691	0.2808639252402921	0.3902587945900731	0.5812609107333658	0.2627097745606226	0.3113613723057795	0.2005332410446316	0.2544744600911791	0.2528213791146203	0.2432421105597821	0.203034430885442	0.2463013514334806	0.2270189160403978	0.2139693135895194	0.2861268610877351	0.2474465182206065	3.182586678466444	0.3237055104705849	0.2061779049215742	0.1927548194202722	0.2721618433703933	0.2755807798596778	0.2365777309786377	0.2745792548780375	0.184389063644394	0.302497218848497	0.1487815865243012	0.1535339607838415	0.2248394882966665	0.2619354308640778	0.2041626737675655	0.2591734146109095	0.2689439234386788	0.1968962665079131	0.1999550670873201	0.3113857832999749	0.1857825860524303	0.2211711193611423	0.8017631943405255	0.3406598828957025	0.318565597356049	0.2300878804482345	0.2969661539169511	0.3196466047345269	0.3281322478646759	0.2081886405759897	0.2140394445130034	0.3101076346957686	0.2365045608171647	0.3450411337560622	0.2258913162027705	0.2679294006879446	0.1772871373018003	3.367250864157726	0.2214579285586222	0.2978441943517495	0.2468939158927112	0.2190501268272627	0.2466967031975043	0.1540461736759399	0.3482857464115712	0.279649976588045	0.3140557441066871	0.2041506728081974	0.3959015727583213	0.2933401823518305	0.2058616497587821	0.2628282867160054	0.2766751834679699	0.1643609036771494	0.2586772685512698	0.3475279399975637	3.378651332999768	0.2334780659484649	0.1708375402945123	0.3451300620448692	6.876691385523335	0.2620593609077854	0.2800731303839059	0.283474397154126	0.289464684525338	0.3802596672721429	0.245563373990366	0.207222345078217	0.3274246874850977	0.2073877238350206	0.2696976022302159	0.2196530655056461
951N	0.2827840598352365	0.2123036937664807	0.2111251813350238	0.2618713218645537	0.2714992804293397	0.3149561255368554	0	0.265221806331904	0.3069727814792746	0.2456980744757229	0.2073541627096128	0.2811782285732508	0.3058397725811106	0.3215851546167229	0.2401129692509044	0.3790580989702689	0.2309226738274563	0.2907516600034998	0.343777058539972	0.233066523775349	2.788259307549308	0.2069625888563221	0.2320590952620263	0.2829029371274639	0.2406443580095329	0.2580432180866654	0.2493565249479704	0.2598526480058649	0.2043709760198719	0.3376096627795182	0.604213650022555	0.2072040710470789	0.29224503850121	0.246159728156459	0.3446904115757735	0.2302081304763256	0.2688942084821783	0.3214352622883822	0.2474224508741514	0.2775367802379212	0.2003785956979454	0.217670147247621	0.2488789436765262	3.261043548618189	0.1693383038501137	0.2436143192346628	0.2672201084082222	0.2395548910570514	0.223161299403771	0.2709083843156632	0.2751879737179861	0.2769090846065876	0.1395756868158987	0.3033547531410782	0.2377344111389947	0.2298816111383275	0.2427499311022148	0.2608489408261407	0.1865458824848807	0.2290182442231367	0.257427853748863	0.2354611451242982	0.2913450775183422	0.229500188474134	0.2039983459055678	0.8911016772117127	0.1157465190437913	0.3132926509024122	0.2172806096802287	0.2687559609921116	0.1098243970965943	0.3594165514872829	0.2042230716137455	0.2953214776463728	0.3622619635302794	0.2546550102245771	0.2057177705204723	0.2102773630098266	0.2452160879534105	0.246789069418223	3.377293491627044	0.2485724854388474	0.1537040652146781	0.1948908219218846	0.249895717882239	0.1801586094161655	0.2599829558737453	0.2932842265528385	0.2327168483408281	0.2208351887695344	0.278325747882925	0.4660019623478348	0.2157931858878188	0.2352105401426597	0.2148449234246115	0.2067765003313576	0.2493927128224577	0.2693585473023167	0.3394529374198396	3.423316443815017	0.2942183284981945	0.2351651513612322	0.4463748011267638	6.930390478696763	0.2965499527269813	0.2520094386702423	0.1261565907896233	0.1340266872760975	0.3457480754772091	0.2271617930351932	0.3104287795413945	0.1922680834641855	0.2609969866947542	0.399110065684101	0.2573444968093828
962P	0.2441687015789869	0.2117702229222503	0.2251042964861101	0.193090439716242	0.3166615192017392	0.2139434047803435	0.265221806331904	0	0.3130991633899685	0.2246904055713675	0.209987595840219	0.1965506193463681	0.2302517987581883	0.2501468231744422	0.2394843800715984	0.280180257950694	0.1847072386320706	0.2061677365321257	0.241662519711202	0.1898757743678413	2.725146141906992	0.2067760710504036	0.1937741395101189	0.1832928181888102	0.3000249367053326	0.27657606818865	0.2548830025631597	0.1899142355240352	0.2354630851222705	0.3420935359479622	0.587781359558702	0.2446709344830225	0.2610180207593923	0.2394847547624957	0.256980109118855	0.2527326778522475	0.214167531546017	0.2399882589179501	0.2011136358614936	0.1851460978301013	0.1777940846969484	0.2811103554627501	0.2354695828118771	3.169282960757606	0.3043891564697505	0.1699171440204936	0.1945145791531837	0.2290635576326587	0.2207234898994024	0.2368810941921348	0.2247490614317088	0.216590266341514	0.2794941661718816	0.2233437077839066	0.1675238363528357	0.2545862551651292	0.2621943498477616	0.2335013600787362	0.2669335945334634	0.2591171284541439	0.1747910247457554	0.208866891067073	0.2931018129603152	0.2123386264750534	0.2324259547483834	0.7946056435769221	0.2842833346971381	0.29482351666297	0.2357986794950254	0.277663923678325	0.2756821053819322	0.3280168965798786	0.2129827060403129	0.2450850314318033	0.3028162054317429	0.2330918042020488	0.3351925900914468	0.2379728324035581	0.2728336181922898	0.1809942662009977	3.333207048401095	0.239756429494973	0.2668536760289931	0.2342975337291851	0.1718227279550584	0.2184136172842688	0.1767965852801861	0.3230660033468898	0.2809506720813849	0.2839066454371712	0.210224996039498	0.3806187615540126	0.2510120360559612	0.2451602977344169	0.2508005791052954	0.263928264831524	0.192315972482889	0.3133319573301319	0.3190476874124503	3.383577802777812	0.1384417523069635	0.1543460813000254	0.3681092806788999	6.892260932747986	0.2363460009764508	0.2388501249905972	0.25533783956256	0.2424431545837538	0.3677562795803428	0.2704527391182887	0.2296252070992056	0.3060049772512209	0.2258083868420524	0.300025125260868	0.2283130260599824
706C	0.3442737750612695	0.2757277634141886	0.3590835366482643	0.3361786027156959	0.2811346824504294	0.3534953781666338	0.3069727814792746	0.3130991633899685	0	0.3281955312354936	0.2812381444737857	0.312740098310484	0.3414206216690435	0.3763864168347476	0.2984921712035392	0.4126379633187662	0.298749490334081	0.3863522644683874	0.4136394520823652	0.3257123123341653	2.816240820417687	0.2629295780217257	0.3040296693663138	0.3228447453274754	0.2634447402832394	0.2338625136117264	0.3065742587573189	0.3113329334474052	0.2246938342668477	0.3250577068055379	0.7119921380785228	0.3500356702673876	0.3518447240243348	0.2749231348342741	0.3823351043698857	0.2689648421268453	0.3099080252442027	0.3604462062004336	0.3211483524638768	0.3379004289555697	0.3562009915909629	0.2566963688896088	0.3139014317961829	3.301979754657624	0.3726984625028109	0.3153043440753261	0.3208099854650597	0.279737351704244	0.2819338715246862	0.3011594652192424	0.336029431363009	0.3255412318134827	0.3000766246672424	0.3274227798232291	0.3233347833136057	0.2626430402424553	0.2995765904742349	0.3570303004790331	0.3046829959879157	0.4091466235536992	0.3121160878594968	0.2895926273935531	0.2720443851882824	0.2967223547950035	0.3558970101531327	0.9559346094678347	0.3388008381170632	0.3486884104303071	0.273770390934221	0.3066944474966811	0.3143561591767635	0.405478970802195	0.286367676700842	0.3523203323885	0.4178656307770022	0.3227429481519888	0.3544324754716507	0.25986277581324	0.2931286189874275	0.31421669611162	3.433699168442428	0.3209119980289973	0.3755206422238568	0.230756261415568	0.3456160785670793	0.3275709349897555	0.338661135123193	0.276890259360549	0.2289870719696804	0.3667318145362969	0.3547289965447167	0.52946625167261	0.2676839434427918	0.2922385684812034	0.2257379182321358	0.2520614115259563	0.2983688247739709	0.2967681340538224	0.4011682813794607	3.459005236347989	0.3246890007957245	0.3186888878271004	0.489115237801833	6.938813659854102	0.3388902676408304	0.3423720930953595	0.299166200202812	0.2839419374886898	0.3941794838804846	0.2894321260365609	0.3202916123539857	0.3982787593281864	0.3270970243365161	0.4057868244398608	0.3333919311666958
970P2	0.1753273549338986	0.2080930309768204	0.2294840047713156	0.2391956456069025	0.271704734972412	0.2251325593708272	0.2456980744757229	0.2246904055713675	0.3281955312354936	0	0.1531940895296339	0.1839793494080653	0.2499714741076912	0.248357581282916	0.1753992783182756	0.2992299784321337	0.1825661448953687	0.2039203638142221	0.2779979014176386	0.149431723402129	2.707577860326249	0.1913779834760444	0.1623905085279187	0.1551305101845891	0.2358127060743906	0.2474437159528455	0.1923328842806444	0.1788034555583631	0.2045565432031979	0.3436212434353759	0.6053813066771672	0.2142051226232083	0.1729790329304898	0.2317512557492507	0.2749495135561412	0.2067248550472485	0.2045674637289882	0.2589169663247076	0.1654190679112424	0.1821996120145709	0.2076034895561042	0.2216439742316026	0.1560490865166584	3.180743513466127	0.2689863156768622	0.1955350951428975	0.2140790766855199	0.2082733588332957	0.1754258539124244	0.2280956681940227	0.1373522699007209	0.1837255777314572	0.276376210504742	0.2324767452085334	0.1386027199148618	0.2353141302326433	0.1768386007279673	0.1602472055764916	0.2531809980480771	0.3047280783376466	0.1297276785110763	0.1728334916131627	0.2752733575250753	0.2105035971400187	0.1917988680848714	0.8142698173567234	0.2633427448165888	0.2647037291628294	0.186346268556366	0.254357475604935	0.2429128866696284	0.2794177766639015	0.1445770548694873	0.1652758461121104	0.2324734944573897	0.1576820361736972	0.3354987340172346	0.1970442400393963	0.2174782825816272	0.1863756895535337	3.31904105726107	0.1159631364618562	0.2448694636648878	0.2084515211732884	0.1744746610127497	0.2295794233864417	0.1836324044082555	0.3082563248363611	0.2401075858817327	0.1796287861594639	0.2091894901680393	0.3896075897852342	0.1862110441897082	0.2031900073571052	0.2106886458819116	0.2129318822940355	0.1989083445038357	0.2507545535838834	0.2958407913541028	3.344853342776769	0.2109226366761752	0.1664174196461556	0.3892936535269025	6.860570698996125	0.1861926464000658	0.146170815925737	0.2703165439328431	0.2606834979551995	0.2988888497391795	0.2111851333605702	0.2717271488349204	0.2553184713742222	0.1507360896432167	0.3402922821584712	0.1541554330133155
