#OTU ID	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	983N2	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	916C2	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	744P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1501	685	1961	596	8058	1916	2402	1137	2783	3170	2088	2441	2482	1009	4111	2854	1651	862	445	1412	856	1866	3254	1014	5018	5488	1921	1413	2560	7985	577	1129	2578	2213	1201	5142	1406	1952	2850	665	2539	3704	3016	1428	702	2591	3139	2141	1131	3314	2691	1715	1261	1337	1363	4131	29	2953	7386	2693	1216	2932	2837	6474	2631	1418	2394	1002	1983	3796	6094	2820	14	125	5395	1489	1736	2885	2377	6638	1475	2136	3058	2042	950	2662	810	1930	1349	6604	2175	1848	1154	1668	1731	15819	658	5264	6597	3656	1509	1783	3101	2338	1900	8786	2155	25	1069	1976	1541	5239	1062	2493	439	3019	882	1316
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	370	53	215	60	2	0	207	46	440	73	62	86	57	56	893	284	33	41	12	66	1020	105	9	45	4	266	0	27	75	134	686	89	49	0	83	166	71	135	105	136	323	326	326	7	130	46	175	50	83	228	102	180	16	0	42	55	2	623	107	226	209	15	159	40	63	260	97	136	13	170	87	94	0	4	117	184	238	29	341	2	49	11	112	21	20	60	25	435	40	148	42	164	112	83	113	20	20	162	13	2	37	91	118	31	271	2074	707	0	58	369	294	4	0	27	86	58	45	40
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	340	97	1445	287	6	2	2305	142	59	0	7	193	2	5	4	184	5	566	52	2	40	124	6	2	8	11	2	0	51	10	1594	3137	14	5	7	27	8	60	5	79	2292	12	122	38	3679	814	16	11	83	2	10	6	1498	2	20	3	0	4	41	1361	2760	2	2	57	4	1192	338	2130	2	7	8	2886	9	84	7	5	2	0	8883	10	0	5	201	2	1900	14	366	2506	30	85	0	3140	88	6	0	44	20	4	55	4	65	37	41	14	403	119	71	0	32	2587	1596	9	0	485	3278	6	3	19
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1353	188	596	591	1073	459	1053	564	185	2336	1118	1220	564	1044	2007	1630	461	782	452	1135	433	414	1428	1006	950	661	1191	645	528	956	656	1663	2212	556	278	1004	2966	409	1284	723	2389	877	1902	817	1373	990	488	960	703	511	3120	606	480	633	630	114	4	1152	5682	250	622	1739	990	518	571	1228	1014	895	597	1207	1331	1318	6	2358	1623	1229	2442	1316	511	1014	499	907	1278	1730	1069	427	637	1610	619	434	668	2994	980	549	482	1835	371	1103	1442	935	745	602	2236	1285	199	2133	1738	0	1431	352	501	2045	131	190	1554	1480	54	1200
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	399	137	1999	439	94	1190	637	847	407	683	195	799	1242	1126	502	3003	424	1143	978	627	856	310	885	570	106	926	27	435	203	344	1302	745	228	961	599	766	1049	1730	767	481	2231	287	524	819	503	1255	929	239	151	1864	638	1226	495	1088	620	1307	4	509	3518	929	2048	659	673	592	862	1140	1582	326	785	463	563	418	0	68	906	800	654	595	1395	904	261	813	683	557	506	295	515	993	924	239	76	435	1283	742	102	3918	59	694	2505	187	262	363	1586	1080	2468	929	712	0	236	1363	722	274	167	2849	506	910	1538	443
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	194	21	18	33	28	6	36	7	4	21	80	42	7	109	66	55	28	7	16	22	25	20	18	12	44	91	26	14	76	20	24	71	34	2	16	8	48	0	29	28	74	0	103	146	59	20	6	8	4	7	44	15	6	0	38	0	0	9	969	38	16	32	49	17	2	14	33	21	7	63	184	30	0	2	442	32	59	57	12	36	9	115	63	29	72	6	15	24	2	0	62	24	16	7	7	28	40	4	29	2	3	6	37	32	6	26	148	0	22	4	22	35	0	12	42	0	2	71
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured	127	14	0	0	0	0	13	18	25	100	0	2	5	728	2	6302	0	2	0	43	4	0	9	3	2	0	2	5	2	0	0	2	9	0	1641	33	20	0	277	0	4	0	194	6	8	51	0	3	0	9	2	2	0	0	0	2	0	0	4	0	26	0	0	4	2	7	0	2	213	2	2	101	0	5	2	2	2	0	34	6	0	10	5	6	5	0	0	6	41	25	0	16	3	31	0	34	0	0	3	2	0	61	2	0	0	2	124	0	0	2	0	0	0	78	8	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae	73	0	28	14	0	29	12	10	17	49	53	142	19	144	0	70	38	15	28	21	0	8	137	19	0	30	2	75	18	8	4	58	56	26	14	39	184	6	19	9	121	22	342	75	155	36	14	30	12	22	20	4	4	86	23	0	0	7	93	12	12	56	50	68	0	2	40	21	11	71	19	25	0	0	359	0	322	25	73	73	0	49	170	45	25	14	18	8	10	2	23	18	26	7	4	4	18	60	15	0	0	0	44	175	10	2	323	0	9	10	10	13	0	10	24	193	0	7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	110	58	184	310	8	2	727	261	3322	209	86	100	576	752	177	546	149	188	119	313	20	71	322	93	160	387	114	65	404	191	154	147	263	791	389	24	1186	283	402	155	368	190	215	123	87	144	254	293	104	831	711	101	473	631	69	581	0	373	1011	64	418	0	145	172	280	142	689	246	222	153	49	189	0	7	561	2	53	84	328	81	199	155	183	474	142	280	142	588	127	883	752	234	520	105	79	51	397	664	632	2	256	62	546	361	215	555	303	0	145	833	392	227	0	923	118	10	570	47
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	146	42	532	264	677	457	252	129	260	116	105	148	103	95	63	3140	279	256	429	134	4	181	289	125	64	80	36	31	66	28	838	273	117	112	669	98	271	161	211	206	843	51	50	179	119	318	2851	103	35	165	155	167	108	305	279	12	0	104	144	366	725	355	149	155	157	292	687	177	87	142	21	275	0	194	88	0	85	72	980	593	21	82	228	37	195	422	155	1404	436	300	91	97	736	171	82	618	39	89	887	228	87	31	389	414	342	208	47	2	61	260	315	118	31	139	160	47	15	52
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	75	43	203	214	0	314	158	435	289	103	315	45	158	64	226	1224	61	141	237	46	19	75	178	514	59	30	67	8	145	8	127	136	83	99	497	178	308	182	132	71	538	74	47	669	28	800	1326	127	63	190	142	112	161	192	144	43	0	22	195	96	182	357	216	122	232	34	116	121	218	291	8	141	0	8	80	3	54	0	247	812	7	899	239	36	121	133	170	366	233	229	0	78	184	128	6	23	8	106	899	0	11	80	701	475	50	92	82	0	52	77	111	390	0	1240	52	71	157	29
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	39	12	8	7	51	10	290	27	0	9	7	9	11	17	23	27	6	6	9	53	54	6	52	9	16	109	86	11	19	13	12	17	39	14	0	18	99	0	98	18	37	12	289	15	26	29	4	20	23	4	31	14	4	6	45	8	0	15	577	2	11	53	51	10	38	37	11	0	2	50	26	233	0	43	9	25	31	14	7	33	12	28	100	23	311	0	12	18	71	2	6	12	0	11	0	100	12	6	5	30	302	14	24	95	2	49	4	0	39	12	3	30	41	2	39	18	2	40
