	observed_features
984N2	379
948N2	82
954P	315
973P2	371
981P	157
985P	268
951N	348
962P	438
706C	199
970P2	293
947N2	285
952P2	323
971P2	304
948N	302
978P2	283
922C2	357
739N	328
921C2	389
950N2	391
742P	387
701C	201
702C	331
919C	345
980N	330
960N2	220
920C	203
960N	233
988P2	285
972P	270
923C	208
705C	326
929C2	318
947N	305
958P2	214
922C	333
953P	244
706C2	392
918C	228
742P2	367
702C2	401
950N	483
990P2	218
737P	357
926C2	302
927C2	318
735P2	358
741P	272
732N2	296
990P	292
970P	287
975N	265
967N	292
917C	264
958P	263
739N2	339
971P	160
743P	206
983N	272
957P2	270
928C	352
740P	364
985P2	317
988P	232
918C2	249
924C	295
929C	432
951N2	324
987P	263
949N2	297
923C2	258
963P	365
982N	202
972P2	289
701C2	206
949N	306
966N	218
963P2	275
979N2	256
955N2	175
926C	283
952P	288
925C2	236
924C2	354
732N	234
921C	349
705C2	345
956N	422
986N	224
736N	220
741P2	275
928C2	400
956N2	366
930C	224
989N	230
736N2	219
986N2	217
919C2	244
981P2	158
955N	257
925C	226
962P2	399
734N	404
957P	270
978P	62
737P2	339
975N2	284
927C	311
973P	309
744P	204
989N2	157
735P	181
954P2	331
953P2	240
916C	166
984N	293
