	pielou_evenness
984N2	0.9259697273247333
948N2	0.8609557189007377
954P	0.880083032000672
973P2	0.9300733667601184
981P	0.7498237424541525
985P	0.890205763339607
951N	0.9020199662473026
962P	0.9349892120095478
706C	0.7840657525403778
970P2	0.876557164316536
947N2	0.8749080951337702
952P2	0.9124097032293965
971P2	0.8782752526588062
948N	0.92923162011498
978P2	0.8992247661454241
922C2	0.886473515696381
739N	0.872722518660115
921C2	0.9062132962773288
950N2	0.9360840498981249
742P	0.9227939885176719
701C	0.8015232272057172
702C	0.8607177900141066
919C	0.9033552535627247
980N	0.9102282700461077
960N2	0.8568094344492415
920C	0.7851033211189815
960N	0.8894755915085222
988P2	0.888016569367147
972P	0.8543996567816197
923C	0.7779311159976273
705C	0.9100034948635499
929C2	0.8467377696959298
947N	0.8767588591237696
958P2	0.8510709604721676
922C	0.8992183620462615
953P	0.7818324329543953
706C2	0.9463211387840247
918C	0.8237525427497735
742P2	0.8759913528217199
702C2	0.9320355451227059
950N	0.9358570797528809
990P2	0.8471018640203098
737P	0.9066554979208697
926C2	0.8243232471362711
927C2	0.8399742402702842
735P2	0.9094751302293209
741P	0.8520372357637801
732N2	0.9078119042803829
990P	0.8898833639354373
970P	0.8661152833481135
975N	0.8637688707364475
967N	0.8752704450999299
917C	0.868968839667977
958P	0.913325828043605
739N2	0.9056647149219914
971P	0.8475708850280431
743P	0.8526023560867139
983N	0.8759035727338448
957P2	0.8745561947981134
928C	0.8783776428718812
740P	0.8997977111325094
985P2	0.8889276446912798
988P	0.7618228760564526
918C2	0.8589236602498374
924C	0.9049531662612925
929C	0.9190484545620196
951N2	0.8886963802639999
987P	0.875892401522907
949N2	0.8691050551743041
923C2	0.8069923960533053
963P	0.8795794979629954
982N	0.8627274168575518
972P2	0.8952225758183777
701C2	0.8987527854542595
949N	0.8826336766636343
966N	0.8624203856656442
963P2	0.8232624470064549
979N2	0.8283039209604633
955N2	0.8813490984550897
926C	0.9086368583464576
952P	0.7943636571815788
925C2	0.8558932639296201
924C2	0.9180676023858029
732N	0.8725459367964807
921C	0.9152345238800662
705C2	0.9046323371212874
956N	0.9185483187765042
986N	0.7863656826430412
736N	0.8745135699273809
741P2	0.8478194261502556
928C2	0.9271104476183322
956N2	0.9199130882906578
930C	0.8640345449112501
989N	0.8175049112636058
736N2	0.8825906309429947
986N2	0.7995569269339861
919C2	0.8121051985118547
981P2	0.7568799785895748
955N	0.8642316118960921
925C	0.8003500837771527
962P2	0.9112328200666832
734N	0.9123338747714943
957P	0.8603763664789645
978P	0.6602637541794844
737P2	0.9224569736443877
975N2	0.8838076037655977
927C	0.8906719524323711
973P	0.9016429609951901
744P	0.8171003290401577
989N2	0.8583593993905339
735P	0.8361634448319724
954P2	0.8834432158105924
953P2	0.8359620456709509
916C	0.8464507511892433
984N	0.9157463264899042
