#OTU ID	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	983N2	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	916C2	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	744P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	726	238	1440	205	5	7	1549	122	97	1081	1326	825	1872	16	2126	407	1172	608	59	798	411	975	1792	373	1688	784	489	240	1131	560	401	605	1373	8	158	4623	89	59	1887	170	584	2491	669	756	363	1178	2233	870	690	1313	1547	943	919	5	437	2454	19	13	5369	2045	664	1004	1622	512	17	981	944	595	1156	2233	579	1402	6	59	1514	1068	1072	1380	1338	3856	1205	672	1434	1432	443	949	366	1267	690	5862	10	1018	650	879	903	5800	11	4630	3753	13	1257	451	50	1648	1518	6754	994	14	619	1212	755	3565	393	1566	301	2480	404	510
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterellaceae_bacterium	366	23	0	0	0	0	2	20	0	2	0	0	0	0	2	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	314	0	9	0	0	0	0	0	0	0	0	0	326	0	89	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	126	3	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	203	31	0	0	0	81	74	0	3	0	0	0	0	0	0	99	0	2	2	707	0	0	181	0	0	0	0	0	0	0	40
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__metagenome	248	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727	0	0	0	0	0	0	0	0	2	0	0	0	0	0	126	0	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	436	0	0	0	11
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	226	0	0	11	0	0	0	0	0	5	5	4	0	120	0	463	0	2	0	46	0	10	0	40	0	0	0	12	0	0	0	0	16	0	225	0	0	1	60	0	2	30	0	2	11	33	0	0	12	2	4	7	51	0	4	0	0	0	0	0	9	1	0	80	0	0	0	0	4	0	0	0	0	0	0	0	0	70	4	0	0	4	36	0	0	2	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	4	3	0	0	70	0	0	0	88
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__uncultured_organism	349	24	7	12	2	0	4	71	15	8	166	4	0	106	0	62	2	18	0	4	22	13	4	5	2	0	0	2	2	0	12	628	44	0	0	195	48	0	8	5	3	102	612	3	4	14	13	246	259	8	4	2	0	0	42	0	0	60	1628	4	10	18	215	1	0	8	69	0	103	278	4	22	0	2	9	0	1228	26	0	4	74	10	213	2	18	15	6	3	15	13	15	80	28	45	0	0	18	48	2	4	0	0	0	2	2	0	262	0	35	2	6	1093	0	0	0	5	6	202
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_eggerthii	231	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	93	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	58
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_finegoldii	75	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	13	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	16
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;__	98	0	0	0	0	4	2	17	0	0	23	3	0	27	0	82	0	4	0	0	0	6	0	0	2	0	0	0	0	3	8	116	0	0	8	28	13	0	17	4	5	63	148	4	1	3	0	30	189	0	3	3	0	0	2	0	0	0	226	0	9	8	105	0	0	5	12	2	19	183	0	3	0	2	15	0	153	0	5	5	46	12	21	0	5	0	2	42	5	5	5	42	18	18	0	3	10	10	0	0	11	0	12	47	0	0	83	0	21	0	8	146	0	7	0	0	0	61
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__uncultured_bacterium	175	46	54	31	2	23	373	99	24	1370	165	0	99	195	420	478	7	416	3	20	131	77	262	0	4	76	2	115	208	260	70	0	949	257	31	81	398	38	359	297	30	0	0	24	2	181	89	24	21	91	2412	123	163	149	89	41	4	780	1322	55	251	0	0	35	173	0	77	471	224	0	273	265	2	14	276	0	0	540	66	246	0	1	226	1100	0	198	345	303	0	74	102	2125	349	0	297	35	75	0	367	0	12	41	854	453	55	814	0	0	984	97	82	0	0	0	94	8	23	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__	320	91	1852	202	9	634	216	227	62	315	135	750	656	829	400	310	295	718	263	357	819	157	381	366	86	876	22	328	150	299	1261	342	127	686	166	513	282	1691	471	324	892	9	228	433	338	187	41	107	51	1345	543	1104	430	705	423	1260	4	272	3160	877	1727	354	545	475	796	1064	1052	215	506	347	505	228	0	62	737	690	504	548	1305	575	252	649	563	432	297	51	101	927	409	99	4	105	957	329	12	1394	7	470	1397	17	253	341	369	391	2349	809	349	0	133	1242	524	93	104	2779	282	709	1498	408
